Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ASAI,Sendas Distribuidora S.A. ADS,,2021,NYSE,ASAI
ASAN,Asana Inc. Class A Common Stock,,2020,NYSE,ASAN
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,United States,2020,NYSE,ASAQ
ASB,Associated Banc-Corp Common Stock,United States,,NYSE,ASB
ASB^D,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.375% Non-Cumulative Perpetual Preferred Stock Series D,United States,,NYSE,ASB.D
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,United States,,NYSE,ASB.E
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,United States,,NYSE,ASB.F
ASC,Ardmore Shipping Corporation Common Stock,,2013,NYSE,ASC
ASG,Liberty All-Star Growth Fund Inc.,United States,,NYSE,ASG
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,,2020,NYSE,ASGI
ASGN,ASGN Incorporated Common Stock,United States,1992,NYSE,ASGN
ASH,Ashland Global Holdings Inc. Common Stock,United States,,NYSE,ASH
ASIX,AdvanSix Inc. Common Stock ,United States,2016,NYSE,ASIX
ASPN,Aspen Aerogels Inc. Common Stock,United States,2014,NYSE,ASPN
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,,NYSE,ASR
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,2018,NYSE,ASX
ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares,,2021,NYSE,ASZ
ATA,Americas Technology Acquisition Corp. Ordinary Shares,,2021,NYSE,ATA
ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares,,2021,NYSE,ATAQ
ATC,Atotech Limited Common Shares,,2021,NYSE,ATC
ATCO,Atlas Corp. Common Shares,United Kingdom,,NYSE,ATCO
ATCO^D,Atlas Corp. 7.95% Series D,United Kingdom,,NYSE,ATCO.D
ATCO^H,Atlas Corp. 7.875% Series H,United Kingdom,,NYSE,ATCO.H
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,United Kingdom,,NYSE,ATCO.I
ATEN,A10 Networks Inc. Common Stock,,2014,NYSE,ATEN
ATGE,Adtalem Global Education Inc. Common Stock,United States,,NYSE,ATGE
ATH,Athene Holding Ltd. Class A Common Shares,Bermuda,2016,NYSE,ATH
